theta_deg,AF_linear,AF_dB
90.750,0.996860,-0.0273
91.000,0.994424,-0.0486
91.250,0.991297,-0.0759
91.500,0.987486,-0.1094
91.750,0.982997,-0.1490
92.000,0.977836,-0.1947
92.250,0.972011,-0.2466
92.500,0.965533,-0.3047
92.750,0.958410,-0.3690
93.000,0.950655,-0.4395
93.250,0.942279,-0.5164
93.500,0.933295,-0.5996
93.750,0.923718,-0.6892
94.000,0.913562,-0.7852
94.250,0.902843,-0.8878
94.500,0.891578,-0.9968
94.750,0.879784,-1.1125
95.000,0.867479,-1.2348
95.250,0.854681,-1.3639
95.500,0.841411,-1.4998
95.750,0.827688,-1.6427
96.000,0.813533,-1.7925
96.250,0.798967,-1.9494
96.500,0.784013,-2.1135
96.750,0.768691,-2.2850
97.000,0.753025,-2.4638
97.250,0.737038,-2.6502
97.500,0.720752,-2.8443
97.750,0.704192,-3.0462
98.000,0.687381,-3.2560
98.250,0.670343,-3.4741
98.500,0.653102,-3.7004
98.750,0.635682,-3.9352
99.000,0.618108,-4.1787
99.250,0.600403,-4.4311
99.500,0.582592,-4.6927
99.750,0.564698,-4.9637
100.000,0.546746,-5.2443
100.250,0.528759,-5.5348
100.500,0.510761,-5.8356
100.750,0.492774,-6.1470
101.000,0.474822,-6.4694
101.250,0.456926,-6.8031
101.500,0.439110,-7.1485
101.750,0.421395,-7.5062
102.000,0.403801,-7.8767
102.250,0.386349,-8.2604
102.500,0.369060,-8.6580
102.750,0.351954,-9.0703
103.000,0.335048,-9.4979
103.250,0.318362,-9.9416
103.500,0.301912,-10.4024
103.750,0.285717,-10.8813
104.000,0.269792,-11.3794
104.250,0.254153,-11.8981
104.500,0.238814,-12.4388
104.750,0.223790,-13.0032
105.000,0.209093,-13.5932
105.250,0.194737,-14.2110
105.500,0.180733,-14.8592
105.750,0.167092,-15.5409
106.000,0.153824,-16.2595
106.250,0.140938,-17.0194
106.500,0.128442,-17.8259
106.750,0.116344,-18.6851
107.000,0.104651,-19.6051
107.250,0.093369,-20.5960
107.500,0.082502,-21.6708
107.750,0.072054,-22.8468
108.000,0.062030,-24.1479
108.250,0.052432,-25.6080
108.500,0.043262,-27.2779
108.750,0.034520,-29.2386
109.000,0.026207,-31.6317
109.250,0.018322,-34.7405
109.500,0.010864,-39.2799
109.750,0.003832,-48.3319
110.000,0.002778,-51.1244
110.250,0.008969,-40.9447
110.500,0.014746,-36.6268
110.750,0.020111,-33.9312
111.000,0.025072,-32.0162
111.250,0.029634,-30.5642
111.500,0.033803,-29.4209
111.750,0.037587,-28.4993
112.000,0.040992,-27.7460
112.250,0.044028,-27.1254
112.500,0.046702,-26.6133
112.750,0.049024,-26.1919
113.000,0.051002,-25.8483
113.250,0.052647,-25.5726
113.500,0.053968,-25.3572
113.750,0.054977,-25.1964
114.000,0.055684,-25.0855
114.250,0.056099,-25.0209
114.500,0.056234,-25.0000
114.750,0.056101,-25.0206
115.000,0.055711,-25.0812
115.250,0.055075,-25.1809
115.500,0.054206,-25.3190
115.750,0.053116,-25.4954
116.000,0.051817,-25.7105
116.250,0.050321,-25.9650
116.500,0.048640,-26.2602
116.750,0.046786,-26.5978
117.000,0.044771,-26.9801
117.250,0.042607,-27.4104
117.500,0.040307,-27.8924
117.750,0.037882,-28.4314
118.000,0.035343,-29.0338
118.250,0.032704,-29.7081
118.500,0.029974,-30.4652
118.750,0.027165,-31.3199
119.000,0.024288,-32.2921
119.250,0.021355,-33.4101
119.500,0.018375,-34.7155
119.750,0.015359,-36.2727
120.000,0.012317,-38.1897
120.250,0.009259,-40.6683
120.500,0.006195,-44.1592
120.750,0.003133,-50.0803
121.000,0.000083,-81.6233
121.250,0.002947,-50.6120
121.500,0.005949,-44.5114
121.750,0.008914,-40.9984
122.000,0.011836,-38.5361
122.250,0.014706,-36.6501
122.500,0.017518,-35.1301
122.750,0.020266,-33.8646
123.000,0.022943,-32.7869
123.250,0.025544,-31.8542
123.500,0.028063,-31.0373
123.750,0.030495,-30.3155
124.000,0.032835,-29.6732
124.250,0.035079,-29.0990
124.500,0.037224,-28.5836
124.750,0.039264,-28.1200
125.000,0.041198,-27.7024
125.250,0.043023,-27.3261
125.500,0.044734,-26.9872
125.750,0.046332,-26.6824
126.000,0.047813,-26.4092
126.250,0.049175,-26.1650
126.500,0.050419,-25.9481
126.750,0.051543,-25.7567
127.000,0.052545,-25.5894
127.250,0.053427,-25.4449
127.500,0.054187,-25.3221
127.750,0.054826,-25.2203
128.000,0.055345,-25.1385
128.250,0.055744,-25.0761
128.500,0.056024,-25.0325
128.750,0.056187,-25.0073
129.000,0.056234,-25.0001
129.250,0.056166,-25.0105
129.500,0.055986,-25.0384
129.750,0.055696,-25.0836
130.000,0.055297,-25.1459
130.250,0.054793,-25.2255
130.500,0.054186,-25.3222
130.750,0.053479,-25.4364
131.000,0.052674,-25.5681
131.250,0.051775,-25.7176
131.500,0.050785,-25.8853
131.750,0.049707,-26.0717
132.000,0.048544,-26.2773
132.250,0.047300,-26.5027
132.500,0.045979,-26.7489
132.750,0.044583,-27.0166
133.000,0.043117,-27.3069
133.250,0.041585,-27.6213
133.500,0.039990,-27.9611
133.750,0.038335,-28.3281
134.000,0.036625,-28.7244
134.250,0.034864,-29.1526
134.500,0.033054,-29.6155
134.750,0.031201,-30.1167
135.000,0.029307,-30.6605
135.250,0.027377,-31.2522
135.500,0.025415,-31.8984
135.750,0.023423,-32.6072
136.000,0.021406,-33.3894
136.250,0.019367,-34.2588
136.500,0.017310,-35.2340
